date,state,device,type,message,illuminance,linkquality,occupancy,temperature,description,humidity,winddirection,precipitation,pressure,windspeed,battery,voltage,contact
2019-02-12 23:56:00,,,pairing,device incoming,,,,,,,,,,,,,
2019-02-12 23:56:57,,,,,,23.0,,15.31,,88.98,,,1022.0,,,,
2019-02-12 23:56:57,,,,,,15.0,,15.31,,90.0,,,1022.0,,,,
2019-02-12 23:56:57,,,,,,2.0,,15.31,,90.0,,,1022.0,,,,
2019-02-12 23:57:00,,,,,,26.0,,15.53,,90.0,,,1022.0,,,,
2019-02-12 23:57:00,,,,,,0.0,,15.53,,87.91,,,1022.0,,,,
2019-02-12 23:57:11,,,,,,36.0,,15.5,,83.61,,,1022.0,,,,
2019-02-12 23:57:11,,,,,,36.0,,15.5,,83.61,,,1022.0,,,,
2019-02-12 23:57:18,,,,,,39.0,,15.52,,83.61,,,1022.0,,,,
2019-02-12 23:57:18,,,,,,39.0,,15.52,,82.21,,,1022.0,,,,
2019-02-12 23:57:21,,,,,,39.0,,15.49,,82.21,,,1022.0,,,,
2019-02-12 23:57:21,,,,,,39.0,,15.49,,81.12,,,1022.0,,,,
2019-02-12 23:57:21,,,,,,36.0,,15.49,,81.12,,,1022.0,,,,
2019-02-12 23:57:25,,,,,,36.0,,15.43,,80.15,,,1022.0,,,,
2019-02-12 23:57:28,,,pairing,device incoming,,,,,,,,,,,,,
2019-02-12 23:58:50,,,,,,5.0,,14.9,,80.15,,,1022.0,,,,
2019-02-12 23:58:50,,,,,,5.0,,14.9,,77.18,,,1022.0,,,,
2019-02-12 23:58:50,,,,,,5.0,,14.9,,77.18,,,1022.0,,,,
2019-02-13 00:00:05,,,,,,,,11.8,"Porto, Massarelos @ 2019-02-12T23:00",57.0,,0.0,,,,,
2019-02-13 00:01:54,,,,,,15.0,,14.36,,77.18,,,1022.0,,,,
2019-02-13 00:01:54,,,,,,15.0,,14.36,,77.32,,,1022.0,,,,
2019-02-13 00:08:19,,,,,,5.0,,13.86,,77.32,,,1022.0,,,,
2019-02-13 00:08:19,,,,,,5.0,,13.86,,79.62,,,1022.0,,,,
2019-02-13 00:08:19,,,,,,5.0,,13.86,,79.62,,,1022.0,,,,
2019-02-13 00:19:21,,,,,,10.0,,13.86,,79.62,,,1022.0,,,,
2019-02-13 00:19:21,,,,,,10.0,,13.86,,80.29,,,1022.0,,,,
2019-02-13 00:19:21,,,,,,7.0,,13.86,,80.29,,,1023.0,,,,
2019-02-13 00:19:39,,,,,,7.0,,13.65,,80.29,,,1023.0,,,,
2019-02-13 00:19:39,,,,,,7.0,,13.65,,80.17,,,1023.0,,,,
2019-02-13 00:19:39,,,,,,7.0,,13.65,,80.17,,,1022.0,,,,
2019-02-13 00:43:07,,,,,,0.0,,,,,,,,,23.0,2945.0,True
2019-02-13 00:47:51,,,,,,2.0,,13.65,,80.17,,,1022.0,,100.0,3045.0,
2019-02-13 00:47:51,,,,,,2.0,,13.44,,81.52,,,1022.94,,100.0,3045.0,
2019-02-13 01:00:05,,,,,,,,10.9,"Porto, Massarelos @ 2019-02-13T00:00",61.0,,0.0,,,,,
2019-02-13 01:33:32,,,,,,0.0,,,,,,,,,27.0,2955.0,True
2019-02-13 01:44:49,,,,,,5.0,,13.44,,81.52,,,1022.94,,55.0,2995.0,
