date,temperature,illuminance,occupancy,humidity,contact,feedback,linkquality
2019-02-14 08:27:29.418000+00:00,17.91,,,56.12,,,
2019-02-14 09:00:05.177000+00:00,8.8,,,75.0,,,
2019-02-14 09:25:24.400000+00:00,17.91,,,56.12,,,
2019-02-14 10:00:05.146000+00:00,9.9,,,72.0,,,
2019-02-14 10:23:49.413000+00:00,18.14,,,56.49,,,
2019-02-14 10:56:48.160000+00:00,18.35,,,56.49,,,
2019-02-14 10:56:48.161000+00:00,18.35,,,55.88,,,
2019-02-14 10:56:48.224000+00:00,18.35,,,55.88,,,
2019-02-14 11:00:05.160000+00:00,13.1,,,61.0,,,
2019-02-14 11:19:03.792000+00:00,18.35,,,55.88,,,
2019-02-14 11:31:27.487000+00:00,18.35,,,55.49,,,
2019-02-14 11:31:27.551000+00:00,18.35,,,54.6,,,
2019-02-14 11:59:14.424000+00:00,18.29,,,54.6,,,
2019-02-14 11:59:14.425000+00:00,18.29,,,54.38,,,
2019-02-14 11:59:14.446000+00:00,18.29,,,54.38,,,
2019-02-14 12:00:05.163000+00:00,16.3,,,49.0,,,
2019-02-14 12:15:58.772000+00:00,18.26,,,54.38,,,
2019-02-14 12:15:58.827000+00:00,18.26,,,52.81,,,
2019-02-14 12:15:58.828000+00:00,18.26,,,52.81,,,
2019-02-14 12:16:39.135000+00:00,18.26,,,52.81,,,
2019-02-14 12:16:39.136000+00:00,18.29,,,53.02,,,
2019-02-14 12:36:44.703000+00:00,18.26,,,53.02,,,
2019-02-14 12:36:44.760000+00:00,18.26,,,52.27,,,
2019-02-14 12:36:44.761000+00:00,18.26,,,52.27,,,
2019-02-14 12:52:08.776000+00:00,18.26,,,52.27,,,
2019-02-14 12:52:08.823000+00:00,18.26,,,51.99,,,
2019-02-14 13:00:05.068000+00:00,17.9,,,44.0,,,
2019-02-14 13:07:02.662000+00:00,18.26,,,51.99,,,
2019-02-14 13:07:02.663000+00:00,18.29,,,51.79,,,
2019-02-14 13:10:44.269000+00:00,18.26,,,51.79,,,
2019-02-14 13:10:44.329000+00:00,18.26,,,51.64,,,
2019-02-14 13:10:44.330000+00:00,18.26,,,51.64,,,
2019-02-14 13:38:01.154000+00:00,18.28,,,51.64,,,
2019-02-14 13:38:01.202000+00:00,18.28,,,52.21,,,
2019-02-14 13:49:44.252000+00:00,18.32,,,52.21,,,
2019-02-14 13:49:44.307000+00:00,18.32,,,52.02,,,
2019-02-14 13:49:44.308000+00:00,18.32,,,52.02,,,
2019-02-14 14:00:04.977000+00:00,19.0,,,41.0,,,
2019-02-14 14:01:07.180000+00:00,18.32,,,52.02,,,
2019-02-14 14:01:07.181000+00:00,18.33,,,52.13,,,
2019-02-14 14:07:39.482000+00:00,18.32,,,52.13,,,
2019-02-14 14:07:39.545000+00:00,18.32,,,52.06,,,
2019-02-14 14:07:39.546000+00:00,18.32,,,52.06,,,
2019-02-14 14:27:24.600000+00:00,18.55,,,52.06,,,
2019-02-14 14:27:24.625000+00:00,18.55,,,52.56,,,
2019-02-14 14:27:24.626000+00:00,18.55,,,52.56,,,
2019-02-14 14:55:21.608000+00:00,18.55,,,52.56,,,
2019-02-14 14:55:21.609000+00:00,18.78,,,52.37,,,
2019-02-14 15:00:04.860000+00:00,20.0,,,41.0,,,
2019-02-14 15:05:04.705000+00:00,18.85,,,52.37,,,
2019-02-14 15:05:04.722000+00:00,18.85,,,52.05,,,
2019-02-14 15:05:04.723000+00:00,18.85,,,52.05,,,
2019-02-14 15:25:19.834000+00:00,19.26,,,52.05,,,
2019-02-14 15:25:19.836000+00:00,19.26,,,50.08,,,
2019-02-14 15:25:19.896000+00:00,19.26,,,50.08,,,
2019-02-14 15:51:26.179000+00:00,19.26,,,50.08,,,
2019-02-14 15:51:26.180000+00:00,19.4,,,48.08,,,
2019-02-14 16:00:04.782000+00:00,20.3,,,40.0,,,
2019-02-14 16:11:21.684000+00:00,19.73,,,48.08,,,
2019-02-14 16:11:21.741000+00:00,19.73,,,48.34,,,
2019-02-14 16:45:59.935000+00:00,19.73,,,48.34,,,
2019-02-14 16:45:59.936000+00:00,20.02,,,49.56,,,
2019-02-14 17:00:04.792000+00:00,20.7,,,40.0,,,
2019-02-14 17:45:44.625000+00:00,20.02,,,49.56,,,
2019-02-14 17:45:44.626000+00:00,19.75,,,50.98,,,
2019-02-14 18:00:04.708000+00:00,20.4,,,41.0,,,
2019-02-14 18:37:47.554000+00:00,19.75,,,50.98,,,
2019-02-14 18:46:30.358000+00:00,19.28,,,51.76,,,
2019-02-14 18:46:30.413000+00:00,19.28,,,51.8,,,
2019-02-14 19:00:04.792000+00:00,19.2,,,44.0,,,
2019-02-14 19:09:15.996000+00:00,19.13,,,51.8,,,
2019-02-14 19:09:16.206000+00:00,19.13,,,51.74,,,
2019-02-14 19:29:10.901000+00:00,19.13,,,51.74,,,
2019-02-14 20:00:04.807000+00:00,17.7,,,47.0,,,
2019-02-14 20:23:04.596000+00:00,19.12,,,51.46,,,
2019-02-14 20:47:01.021000+00:00,18.88,,,51.64,,,
2019-02-14 20:47:01.082000+00:00,18.88,,,51.69,,,
2019-02-14 20:47:01.083000+00:00,18.88,,,51.69,,,
2019-02-14 21:00:04.714000+00:00,16.6,,,50.0,,,
2019-02-14 21:20:19.214000+00:00,18.88,,,51.69,,,
2019-02-14 22:00:04.611000+00:00,15.7,,,53.0,,,
2019-02-14 22:17:33.569000+00:00,18.83,,,51.85,,,
2019-02-14 22:17:33.570000+00:00,18.71,,,51.87,,,
2019-02-14 22:55:43.520000+00:00,18.69,,,51.87,,,
2019-02-14 22:55:43.571000+00:00,18.69,,,52.2,,,
2019-02-14 23:00:05.507000+00:00,15.0,,,53.0,,,
2019-02-14 23:17:28.883000+00:00,18.69,,,52.2,,,
2019-02-15 00:00:05.275000+00:00,14.7,,,53.0,,,
2019-02-15 00:12:22.708000+00:00,18.64,,,52.26,,,
2019-02-15 01:00:05.291000+00:00,14.4,,,54.0,,,
2019-02-15 01:09:47.162000+00:00,18.59,,,51.82,,,
2019-02-15 01:45:36.583000+00:00,18.49,,,52.34,,,
2019-02-15 01:45:36.638000+00:00,18.49,,,52.39,,,
